dataset,filename,stem,extension,size_bytes,width,height,mode,md5,phash,path
dataset_A,IMG20221109152921.jpg,IMG20221109152921,.jpg,3090260,3456,4608,RGB,c2cf5537875d0a68d7395f8a34144047,ea5070e070fabcf4,data\raw\dataset_A\Pics\IMG20221109152921.jpg
dataset_A,IMG20221109153018.jpg,IMG20221109153018,.jpg,3610514,3456,4608,RGB,a428398db4ef29327e740a10032c9c26,d476d6c1699d1a68,data\raw\dataset_A\Pics\IMG20221109153018.jpg
dataset_A,IMG20221109153019.jpg,IMG20221109153019,.jpg,4751239,3456,4608,RGB,9d70c07e0232d158997549ed12481f73,8666ddcd66e28a70,data\raw\dataset_A\Pics\IMG20221109153019.jpg
dataset_A,IMG20221109153113.jpg,IMG20221109153113,.jpg,6492435,3456,4608,RGB,0228c56c89dcec5ba48f6dfa7b04bd46,ca6cbcbb9a32a229,data\raw\dataset_A\Pics\IMG20221109153113.jpg
dataset_A,IMG20221109153114.jpg,IMG20221109153114,.jpg,6060700,3456,4608,RGB,6641ff27e07da97dbe12d06c91c884fd,c56d32563f4929a5,data\raw\dataset_A\Pics\IMG20221109153114.jpg
dataset_A,IMG20221109153115.jpg,IMG20221109153115,.jpg,6580617,3456,4608,RGB,0b5b55e0d2892d3866766d7bec2da581,cab2b52d266c879a,data\raw\dataset_A\Pics\IMG20221109153115.jpg
dataset_A,IMG20221109153116.jpg,IMG20221109153116,.jpg,7090635,3456,4608,RGB,4aa0ce384a19a5014479ab1bdafc82a2,f37050d8f2f2d2c8,data\raw\dataset_A\Pics\IMG20221109153116.jpg
dataset_A,IMG20221109153117.jpg,IMG20221109153117,.jpg,6986796,3456,4608,RGB,65c35dd362332e19ce6829127a0693aa,e724507067e5d9d8,data\raw\dataset_A\Pics\IMG20221109153117.jpg
dataset_A,IMG20221109153118.jpg,IMG20221109153118,.jpg,6598585,3456,4608,RGB,eaef5a36895abda0b3651d7066a4cd68,e3099d25667a1b4d,data\raw\dataset_A\Pics\IMG20221109153118.jpg
dataset_A,IMG20221109153122.jpg,IMG20221109153122,.jpg,6395691,3456,4608,RGB,2b6348acbb9f6f72c6720823340f1b74,c7c38393a1e5c587,data\raw\dataset_A\Pics\IMG20221109153122.jpg
